Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
200001,4.0625,10.0625,0.4375,-0.1113281,0.06396484,0.9780273,0.008789063,0.06542969,-0.2548828
200002,5.9375,9.625,1.4375,-0.1152344,0.07177734,0.9741211,0.008789063,0.06542969,-0.2548828
200004,7.8125,8.75,2.625,-0.1191406,0.08349609,0.9819336,0.01123047,0.0625,-0.2573242
200005,9.25,7.75,3,-0.1191406,0.09130859,0.9780273,0.01123047,0.0625,-0.2548828
200007,10.0625,7.125,3.625,-0.1113281,0.1030273,0.9707031,0.01123047,0.0625,-0.2548828
200008,11.0625,6.875,3.8125,-0.1035156,0.1142578,0.9707031,0.01025391,0.06005859,-0.2573242
200010,11.5,6.8125,4.125,-0.1035156,0.1220703,0.9667969,0.01025391,0.06005859,-0.2548828
200011,11.625,6.5625,4.125,-0.1035156,0.1298828,0.9707031,0.01025391,0.06005859,-0.2548828
200013,11.875,6.6875,4,-0.09179688,0.1376953,0.9550781,0.01025391,0.05859375,-0.2548828
200014,12.5,8,4.0625,-0.06445313,0.1069336,0.9511719,0.008789063,0.0625,-0.253418
200016,12.5,10.625,4.125,-0.04101563,0.1220703,0.9628906,0.008789063,0.0625,-0.253418
200017,12.5625,12.375,3.8125,-0.06445313,0.1298828,0.9472656,0.007324219,0.06005859,-0.2573242
200019,11.25,12.9375,3.5,-0.08398438,0.1689453,0.9589844,0.008789063,0.05859375,-0.2519531
200020,10.8125,13.25,3.375,-0.09179688,0.1572266,0.9628906,0.008789063,0.05859375,-0.2519531
200022,9.625,12.6875,3.1875,-0.1269531,0.1728516,0.9667969,0.01025391,0.06005859,-0.2558594
200023,9.125,12.5,3.125,-0.09179688,0.1689453,0.9667969,0.01123047,0.06152344,-0.2548828
200025,8.875,12.8125,3.0625,-0.1152344,0.1611328,0.9819336,0.01123047,0.06152344,-0.2548828
200026,7.625,11.375,3.1875,-0.1738281,0.199707,1.005371,0.01269531,0.05712891,-0.2548828
200028,7.9375,8.625,3.0625,-0.1660156,0.1611328,0.9975586,0.01123047,0.06152344,-0.2548828
200029,7.4375,7.375,3.4375,-0.1503906,0.1767578,0.9936523,0.01123047,0.06152344,-0.2548828
200031,7.0625,6.1875,3.625,-0.1503906,0.1650391,0.9936523,0.01123047,0.06005859,-0.2558594
200032,6.625,5.75,3.6875,-0.1347656,0.1767578,0.9975586,0.01269531,0.05859375,-0.2558594
200034,5.4375,5,3.375,-0.1269531,0.2075195,0.9780273,0.01269531,0.05859375,-0.2558594
200035,4.375,5,2.75,-0.1191406,0.199707,0.9780273,0.01269531,0.06005859,-0.2558594
200037,3.3125,5.4375,2.1875,-0.1113281,0.215332,0.9628906,0.01123047,0.06005859,-0.2573242
